id,data,tipo,valor,descricao,documento,saldo
TRANS_001,2024-01-11,DEBITO,-2500.00,TED Fornecedor Tech LTDA,12.345.678/0001-90,45000.00
TRANS_002,2024-01-13,CREDITO,3805.50,PIX RECEBIDO Cliente Premium SA,11.222.333/0001-45,48805.50
TRANS_003,2024-01-16,DEBITO,-1200.50,Pagto Boleto Distribuidora ABC,22.333.444/0001-55,47605.00
TRANS_004,2024-01-19,CREDITO,5200.00,TRANSFERENCIA Construtora XYZ,33.444.555/0001-66,52805.00
TRANS_005,2024-01-21,DEBITO,-845.00,Pix Papelaria Central ME,44.555.666/0001-77,51960.00
TRANS_006,2024-01-23,CREDITO,1515.00,DEP CHEQUE Supermercado Bom Preco,55.666.777/0001-88,53475.00
TRANS_007,2024-01-26,CREDITO,-4200.00,DOC Importadora Global LTDA,66.777.888/0001-99,49275.00
TRANS_008,2024-01-29,CREDITO,2785.00,RECEBIMENTO Loja Varejo Total,77.888.999/0001-00,52060.00
TRANS_009,2024-01-15,DEBITO,-320.00,Pagto Energia Elétrica Cemig,00.123.456/0001-78,51740.00
TRANS_010,2024-01-17,DEBITO,-180.50,Tarifa Manutencao Conta,00.000.000/0001-91,51559.50
TRANS_011,2024-01-24,CREDITO,950.00,ESTORNO Devolucao mercadoria,99.888.777/0001-22,52509.50
TRANS_012,2024-01-30,DEBITO,-1200.00,Pagto Aluguel Janeiro,88.777.666/0001-33,51309.50
